,text,target
0,tini alpin town northern itali welcom first babi year,false
1,ohio polic offic hospit eat shard glass sandwich columbu restaur blackliesmatt,true
2,one men want copi orlando shooter stop l liber democrat berniebro,true
3,missouri governor declar state emerg ahead grand juri,true
4,donald trump spokesperson decri lack pure breed run presid,false
5,iphon plu realli bend problem,true
6,paul walker die million cri million die human hunger one simpli give fk,true
7,ca kkk grand wizard endors neverhillari trump,true
8,mikebrown want walk street dead ferguson pd use silenc death make crimin,true
9,smart peopl racist le smart peopl smart enough hide,false
10,year old girl wake brain surgeri ask doctor go via,true
11,dog find absolut perfect place shit,false
12,rais creativ child step one back,false
13,report breast feed increas could save live annual,false
14,abl float januari aka zero g day hint,true
15,great homag charli hebdo victim rt nice work banksi jesuischarli,true
16,man cut peni threw bin girlfriend dump small manhood,true
17,break gill rosenberg tel aviv former idf soldier captur isi go iraq join kurd fight isi ch,true
18,world run chocol world largest chocol manufactur warn,true
19,name ferguson cop expect releas et polic chief say j b forb ap,true
20,hp confirm split two compani cut job hp,true
21,north korea say arrest u student charg commit hostil act,false
22,virginia woolf born today listen known record voic,false
23,crowd chant job cnn crew,false
24,berni sander actual nevada hillari clinton peopl spoken,true
25,man help woman safeti crush death elev nyc,false
26,pope franci real mvp,true
27,polic chief helric fredou one polic offic investig case charliehebdo commit suicid,true
28,ferguson hongkong hongkongdemocraci protest adopt hand shoot,true
29,surveil robberi releas still video ferguson,true
30,thousand peopl china claim seen float citi sky,true
31,polic ottawa confirm whether gunman shot dead parliament person shot kill soldier war memori,true
32,leicest kfc refus hand wipe custom anti islam next separ door woman sharia sauc ar,true
33,maximum secur inmat destroy harvard debat team prison competit,false
34,good news busi answer call give american crimin record fair chanc futur,false
35,hitemup bad boy c e arrest connect murder tupac shakur,true
36,rip elli may clampett sad learn beverlyhillbilli star donna dougla pas away,true
37,hp confirm split two compani cut job hp,true
38,letter parent lego set year ahead time,true
39,sugarhil gang big bank hank die,true
40,dammit transgend year old left suicid note tumblr plead fix societi via,true
41,boko haram ceasefir includ releas bringbackourgirl hostag nigerian govern say,true
42,ebola found hair extens bitch wear weav,true
43,woman hospit confus hair mouss builder foam,true
44,jk rowl work eighth harri potter book expect rumour origin either quibbler trelawney,true
45,time editori board endors hillari clinton democrat nomin via,false
46,open letter trump voter top strategist turn defector,true
47,whiteliberalproverb n gger vote democrat next two hundr year lbj founder modern welfar state,true
48,peopl boycot new transgend bathroom polici like,true
49,least three french soldier kill avalanch alp train exercis french medium,false
50,forti percent german say merkel resign refuge polici poll,false
51,banksi respons charliehebdo attack banksi strike,true
52,donna dougla known role elli may clampett beverli hillbilli die,true
53,tesla reportedli select nevada build massiv billion batteri plant via,true
54,dog abandon scottish railway station suitcas full belong,true
55,american woman vacat grenada kill attack man machet,false
56,justin bieber must love right,false
57,banksi take charli hebdo simpl eleg uncompromis jesuischarli,true
58,achiev histor progress diplomaci without resort anoth war middl east potu irand,false
59,riphulkhogan lift weight also lift heart,true
60,hewlett packard split pc printer busi corpor hardwar accord report,true
61,banksi share simpl beauti tribut charli hebdo cartoonist,true
62,hard work focu dream spirit tonight congratul make histori,false
63,dangerburgundi success clone dinosaur holi shit real,true
64,frustrat talk robberi kill unarm kid ferguson,true
